,0
0,30175
1,5935
2,18997
3,38782
4,46343
5,57318
6,45694
7,17011
8,48006
9,194
10,41855
11,391
12,51899
13,30745
14,1639
15,27373
16,41061
17,37432
18,32930
19,64858
20,14527
21,56535
22,1507
23,11118
24,66965
25,39162
26,6354
27,56444
28,17288
29,19005
30,29860
31,38051
32,4980
33,10161
34,15089
35,33500
36,49402
37,729
38,19901
39,42498
40,12975
41,8366
42,40131
43,45
44,94
45,192
46,23955
47,6965
48,64093
49,56618
50,11528
51,54910
52,9006
53,8675
54,28487
55,44314
56,342
57,20479
58,28179
59,14410
60,33445
61,13727
62,37542
63,23523
64,568
65,32189
66,18274
67,341
68,9153
69,319
70,285
71,6099
72,2405
73,2993
74,1379
75,6270
76,255
77,196
78,7677
79,2917
80,8774
81,56262
82,31716
83,62513
84,20420
85,24814
86,47113
87,12825
88,37762
89,14327
90,37151
91,56002
92,1365
93,10416
94,23305
95,29883
96,32212
97,8912
98,1065
99,912
100,3306
101,8110
102,26913
103,24933
104,13312
105,5619
106,244
107,1971
108,1774
109,80
110,2458
111,549
112,1188
113,548
114,420
115,3396
116,1404
117,1518
118,406
119,2956
120,21123
121,563
122,426
123,984
124,2485
125,813
126,10100
127,5610
128,6891
129,6314
130,5307
131,3202
132,766
133,404
134,763
135,6587
136,1093
137,34
138,42
139,61854
140,39433
141,798
142,2510
143,17395
144,31221
145,14977
146,14714
147,9699
148,11871
149,7072
150,8168
